Project name,LCI dataset,Li concentration,Electricity intensity,Heat intensity,Reagent intensity,Freshwater intensity
Cauchari-Olaroz,df_rotary_dryer_Salar de Cauchari-Olaroz,0.0005,1.554032131859478,22.389671717007996,2.147762619856414,64.0139498676062
Chaerhan Lake,df_rotary_dryer_Chaerhan,0.0006616915422885571,11.132976594817992,358.2746427107165,2.2463547815820535,244.64547054697988
Cuenca Centenario-Ratones,df_rotary_dryer_Salar de Centenario,0.000309016393442622,5.862820861088787,285.94353950357333,13.464192837023367,304.3512518489888
East Taijinair,df_rotary_dryer_East Taijinar,0.0008,4.954527111973875,169.58754530727825,9.324102589848959,233.77530607937285
Hombre Muerto North,df_rotary_dryer_Salar del Hombre Muerto North,0.0006616915422885571,1.7348716357125367,46.64520918491809,2.5309624240419346,74.98822484155107
Kachi,df_rotary_dryer_Kachi,0.0002,7.897154452102747,366.8316800912286,15.840887422911425,341.94448690677564
Lakkor Tso Salt Lake,df_rotary_dryer_Lakkor Tso,0.0002,11.706888554115292,478.43982284231566,2.278764007091973,267.15187715109045
Maricunga,df_rotary_dryer_Maricunga,0.000919672131147541,3.0718563947476816,47.17065643463044,3.01960792440018,250.6076152731363
Pastos Grandes,df_rotary_dryer_Salar de Pastos Grandes,0.000355737704918032,3.1905411703094715,15.64260346260897,2.2112011041571122,101.67199772665342
PPG,df_rotary_dryer_Pozuelos,0.00016967213114754,6.818068484727691,430.6182062951523,23.12856878536191,365.0396764386259
Qinghai Yiliping,df_rotary_dryer_Qinghai Yiliping,0.00021999999999999998,11.132976594817993,341.8588003157233,2.246354781582054,244.64547054697994
Sal de los Angeles,df_rotary_dryer_Sal de los Angeles,0.00019262295081967198,6.374968542759384,375.115590201352,13.194803581339851,319.85846850809645
Sal de Vida,df_rotary_dryer_Sal de Vida,0.000782,1.335080718500218,13.276377832426503,1.882596724865223,40.58186727939163
Salar De Arizaro,df_rotary_dryer_Salar de Arizaro,0.00026065573770491803,6.363902792280755,320.3924141915328,34.85563046048934,360.7136613489668
Salar de Atacama,df_rotary_dryer_Salar de Atacama,0.0015,1.4252434531210998,17.807406123013283,2.1990394641210345,58.36689285806867
Salar de Olaroz,df_rotary_dryer_Salar de Olaroz,0.000639141205615194,2.1626037165856546,9.058888013441198,5.6944488001011715,159.5221540549553
Salar de Tolillar,df_rotary_dryer_Salar de Tolillar,0.00026166666666666596,7.0505274732553085,314.14161407295694,12.150299390489174,308.2906218474657
Salar del Hombre Muerto,df_rotary_dryer_Fenix,0.00021999999999999998,5.6906786379653544,269.1264041179394,9.950352544631803,287.23670695876945
Salar del Rincon,df_rotary_dryer_Salar del Rincon,0.000286885245901639,5.943374189596807,313.7182290512616,17.21568171904476,308.27767986671194
Silver Peak,df_rotary_dryer_Silver Peak,0.0002,1.906942435466972,8.167267875452486,2.2755532840705275,83.99016853682535
Tres Quebradas,df_rotary_dryer_Tres Quebradas,0.000949878738884397,2.061470719315742,35.58055776902282,2.1375526151760877,65.76243194607117
Uyuni Salt Flat,df_rotary_dryer_Salar de Uyuni,0.0006999999999999989,5.933359782846445,206.26578163589528,32.492701777002736,372.4844845260893
Vulcan,df_rotary_dryer_Upper Rhine Graben,0.000189380530973451,16.555812201915455,165.15492397714505,4.425315821420174,445.366529802849
Zhabuye,df_rotary_dryer_Zhabuye,0.0008,1.7405519484894103,12.309249746921717,12.386264538524498,82.68331631396916
