Lithium scenario,Year,Li concentration,Electricity intensity,Heat intensity,Reagent intensity,Freshwater intensity
S&P-Baseline,2020,0.11237819111218654,2.9093503373163396,78.90897458605761,3.6911349464407808,115.84970011237651
S&P-Baseline,2025,0.11125520262576616,2.9357441458543683,76.63556368422304,3.5124747042797098,110.14304428486565
S&P-Baseline,2030,0.10232824516143915,3.4021317390761627,99.94834688724677,3.894154978343609,126.50313761744448
S&P-Baseline,2035,0.09407506952039965,3.649471452176985,119.63883163673427,4.551684963474609,142.34383810957445
S&P-Ambitious,2020,0.11237819111218654,2.9093503373163396,78.90897458605761,3.6911349464407808,115.84970011237651
S&P-Ambitious,2025,0.095511461734228,3.9256074701523334,122.3359480736961,3.8917360460030923,133.14219230511966
S&P-Ambitious,2030,0.08576971079698235,4.182667531386014,126.2084476191084,5.05145849536739,152.5173563723399
S&P-Ambitious,2035,0.07977054406179199,4.362404258288054,138.1073222820604,6.001923156685078,166.91834734800585
S&P-Very Ambitious,2020,0.11237819111218654,2.9093503373163396,78.90897458605761,3.6911349464407808,115.84970011237651
S&P-Very Ambitious,2025,0.09363259863866097,3.9006527188955773,122.11791362028292,4.002083739460793,134.76071111041398
S&P-Very Ambitious,2030,0.08145592810691252,4.20645628555983,138.02545696876564,6.031596088879143,162.24036884399706
S&P-Very Ambitious,2035,0.07504641721457453,4.450350832293738,154.65103977577104,7.383487375108432,179.9672734420656
